review,sentiment
"One of the other reviewer ha mentioned that after watching just 1 Oz episode you 'll be hooked . They are right , a this is exactly what happened with me . The first thing that struck me about Oz wa it brutality and unflinching scene of violence , which set in right from the word GO . Trust me , this is not a show for the faint hearted or timid . This show pull no punch with regard to drug , sex or violence . Its is hardcore , in the classic use of the word . It is called OZ a that is the nickname given to the Oswald Maximum Security State Penitentary . It focus mainly on Emerald City , an experimental section of the prison where all the cell have glass front and face inwards , so privacy is not high on the agenda . Em City is home to many .. Aryans , Muslims , gangsta , Latinos , Christians , Italians , Irish and more .... so scuffle , death stare , dodgy dealing and shady agreement are never far away . I would say the main appeal of the show is due to the fact that it go where other show would n't dare . Forget pretty picture painted for mainstream audience , forget charm , forget romance ... OZ doe n't mess around . The first episode I ever saw struck me a so nasty it wa surreal , I could n't say I wa ready for it , but a I watched more , I developed a taste for Oz , and got accustomed to the high level of graphic violence . Not just violence , but injustice ( crooked guard who 'll be sold out for a nickel , inmate who 'll kill on order and get away with it , well mannered , middle class inmate being turned into prison bitch due to their lack of street skill or prison experience ) Watching Oz , you may become comfortable with what is uncomfortable viewing .... thats if you can get in touch with your darker side .",1
"A wonderful little production . The filming technique is very unassuming- very old-time-BBC fashion and give a comforting , and sometimes discomforting , sense of realism to the entire piece . The actor are extremely well chosen- Michael Sheen not only `` ha got all the polari '' but he ha all the voice down pat too ! You can truly see the seamless editing guided by the reference to Williams ' diary entry , not only is it well worth the watching but it is a terrificly written and performed piece . A masterful production about one of the great master 's of comedy and his life . The realism really come home with the little thing : the fantasy of the guard which , rather than use the traditional 'dream ' technique remains solid then disappears . It play on our knowledge and our sens , particularly with the scene concerning Orton and Halliwell and the set ( particularly of their flat with Halliwell 's mural decorating every surface ) are terribly well done .",1
"I thought this wa a wonderful way to spend time on a too hot summer weekend , sitting in the air conditioned theater and watching a light-hearted comedy . The plot is simplistic , but the dialogue is witty and the character are likable ( even the well bread suspected serial killer ) . While some may be disappointed when they realize this is not Match Point 2 : Risk Addiction , I thought it wa proof that Woody Allen is still fully in control of the style many of u have grown to love . This wa the most I 'd laughed at one of Woody 's comedy in year ( dare I say a decade ? ) . While I 've never been impressed with Scarlet Johanson , in this she managed to tone down her `` sexy '' image and jumped right into a average , but spirited young woman . This may not be the crown jewel of his career , but it wa wittier than `` Devil Wears Prada '' and more interesting than `` Superman '' a great comedy to go see with friend .",1
"Basically there 's a family where a little boy ( Jake ) think there 's a zombie in his closet & his parent are fighting all the time . This movie is slower than a soap opera ... and suddenly , Jake decides to become Rambo and kill the zombie . OK , first of all when you 're going to make a film you must Decide if it a thriller or a drama ! As a drama the movie is watchable . Parents are divorcing & arguing like in real life . And then we have Jake with his closet which totally ruin all the film ! I expected to see a BOOGEYMAN similar movie , and instead i watched a drama with some meaningless thriller spot . 3 out of 10 just for the well playing parent & descent dialog . As for the shot with Jake : just ignore them .",0
"Petter Mattei 's `` Love in the Time of Money '' is a visually stunning film to watch . Mr. Mattei offer u a vivid portrait about human relation . This is a movie that seems to be telling u what money , power and success do to people in the different situation we encounter . This being a variation on the Arthur Schnitzler 's play about the same theme , the director transfer the action to the present time New York where all these different character meet and connect . Each one is connected in one way , or another to the next person , but no one seems to know the previous point of contact . Stylishly , the film ha a sophisticated luxurious look . We are taken to see how these people live and the world they live in their own habitat . The only thing one get out of all these soul in the picture is the different stage of loneliness each one inhabits . A big city is not exactly the best place in which human relation find sincere fulfillment , a one discerns is the case with most of the people we encounter . The acting is good under Mr. Mattei 's direction . Steve Buscemi , Rosario Dawson , Carol Kane , Michael Imperioli , Adrian Grenier , and the rest of the talented cast , make these character come alive . We wish Mr. Mattei good luck and await anxiously for his next work .",1
"Probably my all-time favorite movie , a story of selflessness , sacrifice and dedication to a noble cause , but it 's not preachy or boring . It just never get old , despite my having seen it some 15 or more time in the last 25 year . Paul Lukas ' performance brings tear to my eye , and Bette Davis , in one of her very few truly sympathetic role , is a delight . The kid are , a grandma say , more like `` dressed-up midget '' than child , but that only make them more fun to watch . And the mother 's slow awakening to what 's happening in the world and under her own roof is believable and startling . If I had a dozen thumb , they 'd all be `` up '' for this movie .",1
"I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the kid excitement in me.I grew up on black and white TV and Seahunt with Gunsmoke were my hero 's every week.You have my vote for a comeback of a new sea hunt.We need a change of pace in TV and this would work for a world of under water adventure.Oh by the way thank you for an outlet like this to view many viewpoint about TV and the many movies.So any ole way I believe I 've got what I wan na say.Would be nice to read some more plus point about sea hunt.If my rhyme would be 10 line would you let me submit , or leave me out to be in doubt and have me to quit , If this is so then I must go so let do it .",1
"This show wa an amazing , fresh & innovative idea in the 70 's when it first aired . The first 7 or 8 year were brilliant , but thing dropped off after that . By 1990 , the show wa not really funny anymore , and it 's continued it decline further to the complete waste of time it is today . It 's truly disgraceful how far this show ha fallen . The writing is painfully bad , the performance are almost a bad - if not for the mildly entertaining respite of the guest-hosts , this show probably would n't still be on the air . I find it so hard to believe that the same creator that hand-selected the original cast also chose the band of hack that followed . How can one recognize such brilliance and then see fit to replace it with such mediocrity ? I felt I must give 2 star out of respect for the original cast that made this show such a huge success . As it is now , the show is just awful . I ca n't believe it 's still on the air .",0
"Encouraged by the positive comment about this film on here I wa looking forward to watching this film . Bad mistake . I 've seen 950+ film and this is truly one of the worst of them - it 's awful in almost every way : editing , pacing , storyline , 'acting , ' soundtrack ( the film 's only song - a lame country tune - is played no le than four time ) . The film look cheap and nasty and is boring in the extreme . Rarely have I been so happy to see the end credit of a film . The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort . One for Keitel obsessive only .",0
"If you like original gut wrenching laughter you will like this movie . If you are young or old then you will love this movie , hell even my mom liked it . Great Camp ! ! !",1
